366858	185	3884	-8380.03
366862	283	-14732	-8506.24
366865	-236	-2800	-8393.04
366869	-569	-9192	-8410.69
366873	-323	-16416	-8572.07
366876	-334	-3888	-8479.69
366880	-89	-15040	-8611.16
366884	556	1360	-8409.56
366887	-103	-5288	-8347.53
366892	96	1556	-8149.08
366895	337	2736	-7930.06
366899	-21	-19880	-8169.12
366903	60	-1736	-8040.22
366906	144	-8072	-8040.44
366910	214	-14576	-8170.31
366913	77	-536	-8017.32
366917	585	-10208	-8059.41
366921	323	-4932	-7995.60
366924	114	-18296	-8201.16
366928	616	-16212	-8359.57
366931	564	-17364	-8537.44
366936	67	-15032	-8667.01
366940	160	3276	-8427.68
366943	-5	-16136	-8581.86
366947	-331	1432	-8382.56
366950	-337	312	-8209.99
366954	-122	-14420	-8334.55
366958	-503	-9708	-8363.99
366961	-175	-8944	-8376.27
366965	675	-3008	-8266.92
366968	-96	-6200	-8225.96
366972	-27	-2368	-8108.88
366977	404	-624	-7957.20
366980	353	-16100	-8118.68
366984	339	-7804	-8111.39
366987	112	-11868	-8186.08
366991	456	-13428	-8289.13
366995	226	-3512	-8192.92
366998	577	-16588	-8358.56
367002	454	-6924	-8328.54
367006	21	-20732	-8576.52
367009	357	-14256	-8688.71
367013	504	-17020	-8853.86
367017	59	-15352	-8983.59
367021	356	2700	-8748.17
367025	154	-13572	-8844.19
367028	-341	-2604	-8720.73
367032	-204	-7192	-8690.75
367036	-137	-10940	-8736.27
367039	-606	-308	-8570.08
367043	-128	-14408	-8687.22
367047	802	144	-8507.45
367050	-100	-5104	-8439.68
367054	-114	1176	-8247.81
367057	419	4088	-7999.45
367062	89	-18216	-8203.52
367065	110	440	-8030.11
367069	-43	-6444	-7998.52
367073	275	-15348	-8144.43
367076	311	-1532	-8010.96
367080	401	-12424	-8098.04
367084	387	-6364	-8061.85
367087	-75	-15560	-8212.10
367091	273	-14016	-8327.38
367094	405	-17484	-8508.92
367098	61	-16704	-8672.58
367102	161	1612	-8466.42
367106	37	-16776	-8632.43
367110	-43	-6780	-8595.50
367113	-347	-700	-8438.95
367117	-252	-12308	-8517.08
367121	-332	-10540	-8558.84
367124	75	-9496	-8577.29
367128	735	-1508	-8433.74
367132	-47	-7412	-8413.49
367135	117	-140	-8247.68
367139	520	1300	-8054.68
367142	303	-14736	-8187.12
367147	150	-3880	-8100.54
367151	168	-8972	-8117.15
367154	657	-11880	-8189.83
367158	131	-3308	-8091.81
367161	491	-10596	-8139.97
367165	677	-8216	-8139.50
367169	523	-19576	-8366.18
367172	895	-1296	-8221.26
367176	727	-17136	-8397.42
367180	441	-16456	-8556.86
367183	216	-3764	-8460.16
367187	752	-16172	-8612.19
367192	676	-10532	-8647.27
367195	256	-19272	-8858.76
367199	602	-13100	-8941.82
367202	720	-16896	-9098.08
367206	118	-14228	-9200.21
367210	183	3032	-8955.03
367213	347	-16044	-9095.45
367217	-88	-3780	-8989.40
367221	-432	-7424	-8959.79
367224	-107	-15544	-9091.89
367228	-246	-18880	-9288.37
367233	128	-12412	-9350.22
367236	507	2940	-9102.43
367240	-49	-13344	-9187.40
367243	-372	3176	-8941.59
367247	-29	3100	-8700.85
367251	-166	-9420	-8715.88
367254	-672	4000	-8464.20
367258	-304	-5604	-8407.89
367261	691	-5580	-8348.62
367265	20	-5520	-8291.99
367269	250	-3024	-8185.65
367272	454	-2720	-8074.56
367277	361	-16316	-8237.97
367281	490	-10556	-8282.41
367284	190	-12468	-8365.38
367288	218	-14924	-8495.91
367291	43	-3728	-8400.38
367295	497	-14848	-8527.87
367299	429	-8404	-8523.71
367302	193	-20824	-8768.96
367306	530	-17696	-8945.95
367310	560	-19036	-9145.55
367313	-37	-15420	-9271.18
367318	1	764	-9070.48
367321	16	-14200	-9172.99
367325	-286	-2960	-9049.57
367329	-398	-8856	-9047.26
367332	-186	-10876	-9084.56
367336	-514	-3828	-8980.94
367340	-273	-13032	-9063.03
367343	457	1852	-8842.94
367347	-301	-5016	-8767.29
367350	-389	2304	-8547.39
367354	-113	2900	-8318.77
367358	-252	-13492	-8423.22
367362	-505	4152	-8174.20
367366	-357	-6512	-8142.00
367369	580	-5016	-8077.21
367373	66	-3028	-7975.96
367377	164	-5360	-7923.16
367380	546	-2956	-7821.68
367384	210	-19400	-8052.63
367388	455	-10452	-8098.83
367391	508	-13968	-8214.22
367395	134	-15660	-8362.74
367399	135	3388	-8127.20
367403	556	-17136	-8304.65
367407	126	-9860	-8335.39
367410	-98	-10244	-8373.94
367414	284	-17576	-8557.15
367418	281	-19300	-8770.91
367421	70	-15512	-8905.45
367425	243	2672	-8673.19
367429	-156	-11008	-8720.50
367432	-386	-2344	-8594.48
367436	-99	-5588	-8534.64
367439	20	-12272	-8609.31
367443	-653	-1432	-8467.68
367448	-316	-11440	-8528.68
367451	610	-7316	-8502.03
367455	-95	-2664	-8385.55
367458	-135	2300	-8172.37
367462	397	-4032	-8088.40
367466	381	-19440	-8313.93
367469	372	612	-8133.96
367473	138	-15372	-8278.31
367476	267	-15960	-8430.90
367480	136	-2180	-8305.35
367484	483	-9984	-8337.50
367488	397	-8904	-8346.89
367492	21	-19500	-8569.89
367496	494	-14292	-8682.39
367499	406	-15100	-8809.15
367503	92	-15112	-8934.94
367506	357	3764	-8679.56
367510	12	-17468	-8855.29
367514	-493	520	-8669.72
367517	-233	-1832	-8533.88
367521	-168	-11616	-8596.01
367524	-793	2040	-8386.40
367528	-226	-9988	-8419.10
367533	629	-960	-8266.83
367536	-119	-2344	-8148.84
367540	-236	288	-7980.80
367543	323	1764	-7784.64
367547	239	-19976	-8027.76
367551	12	-3700	-7941.16
367554	24	-7696	-7936.16
367558	352	-12424	-8024.89
367561	229	-1212	-7887.73
367565	566	-13288	-7994.07
367569	349	-7156	-7975.94
367572	-147	-14316	-8103.32
367577	330	-14108	-8222.12
367581	469	-18476	-8425.36
367584	-187	-15912	-8575.82
367588	131	4772	-8308.48
367592	421	-17720	-8495.06
367595	-354	-6860	-8463.75
367599	-501	-16940	-8634.75
367602	-106	-11188	-8686.23
367606	-377	-9412	-8702.22
367610	-179	-15992	-8848.54
367613	586	2160	-8626.08
367618	16	-4740	-8548.29
367622	-381	1676	-8345.30
367625	164	1496	-8147.83
367629	297	-18292	-8349.84
367632	-326	1972	-8144.68
367636	-175	-8232	-8146.94
367640	558	-15420	-8290.22
367643	198	-1952	-8162.68
367647	235	-2968	-8058.09
367650	402	-7388	-8043.11
367654	443	-21972	-8320.39
367659	689	-8140	-8314.08
367662	238	-10528	-8357.19
367666	-28	-16176	-8513.65
367670	338	456	-8332.93
367673	428	-16212	-8488.83
367677	0	-7736	-8473.78
367680	-262	-9680	-8498.93
367684	5	-13924	-8607.42
367687	-298	-4184	-8520.12
367691	-227	-14312	-8636.84
367695	511	1480	-8433.00
367698	-102	-16496	-8594.66
367703	-510	2372	-8377.33
367707	-112	3224	-8145.74
367710	-219	-9448	-8172.65
367714	-656	4144	-7928.24
367717	-485	-5836	-7888.30
367721	745	-6692	-7861.45
367725	256	-3068	-7764.83
367728	9	-5768	-7724.86
367732	304	-2040	-7610.27
367735	351	-16644	-7789.57
367739	559	-10560	-7843.33
367744	260	-13648	-7958.41
367747	125	-17212	-8142.87
367751	376	-2660	-8032.10
367755	613	-17952	-8228.10
367758	110	-8976	-8242.62
