394584	415	7488	135.33
394587	-339	-7800	-24.71
394591	-441	2864	31.77
394594	-115	12	30.92
394598	-365	320	35.63
394601	-1140	12	30.69
394605	-116	2892	87.58
394608	508	6096	209.74
394612	-598	-6676	70.26
394615	-660	11400	294.27
394619	-69	9256	473.30
394622	-436	-1116	439.81
394627	-1086	7320	573.15
394630	-168	-2096	519.11
394634	396	8428	678.45
394638	-547	-5652	549.70
394641	-537	72	538.04
394645	-89	9060	708.22
394648	-400	-1300	666.88
394652	-1023	-6900	511.53
394655	-24	20	501.61
394659	465	8824	669.42
394662	-662	-2084	611.76
394667	-494	3656	671.19
394670	-4	2536	708.47
394674	-374	-1036	672.48
394677	-1021	-1112	632.79
394681	-66	-5300	513.94
394684	361	7232	649.71
394688	-620	-6728	500.34
394691	-592	9600	680.01
394695	-121	6976	805.57
394699	-421	-328	781.25
394702	-1036	6844	899.46
394706	-77	-3024	820.69
394710	352	8612	978.24
394714	-455	-6284	831.66
394717	-358	-584	801.94
394721	-51	8328	952.31
394724	-380	-1224	907.30
394728	-876	-8388	718.81
394731	39	932	723.23
394735	445	10508	920.23
394738	-567	-1648	866.65
394742	-478	4852	944.95
394745	-115	3284	991.28
394749	-387	744	985.20
394754	-762	-2832	905.12
394757	140	-6884	749.75
394761	437	5208	840.63
